"TOA5","CR6Series","CR6","3767","CR6.Std.04 CR6-WIFI.01","CPU:ew_fullsun_code Rev1.CR6","51073","soil_moi"
"TIMESTAMP","RECORD","BattV_Min","VW_Avg"
"TS","RN","Volts",""
"","","Min","Avg"
"2018-08-02 17:00:00",485,14.34,"NAN"
"2018-08-02 18:00:00",486,14.34,"NAN"
"2018-08-02 19:00:00",487,14.34,"NAN"
"2018-08-02 20:00:00",488,14.07,"NAN"
"2018-08-02 21:00:00",489,12.93,"NAN"
"2018-08-02 22:00:00",490,12.89,"NAN"
"2018-08-02 23:00:00",491,12.88,"NAN"
"2018-08-03 00:00:00",492,12.85,"NAN"
"2018-08-03 01:00:00",493,12.85,"NAN"
"2018-08-03 02:00:00",494,12.84,"NAN"
"2018-08-03 03:00:00",495,12.82,"NAN"
"2018-08-03 04:00:00",496,12.8,"NAN"
"2018-08-03 05:00:00",497,12.81,"NAN"
"2018-08-03 06:00:00",498,12.79,"NAN"
"2018-08-03 07:00:00",499,12.79,"NAN"
"2018-08-03 08:00:00",500,12.81,"NAN"
"2018-08-03 09:00:00",501,13.13,"NAN"
"2018-08-03 10:00:00",502,14.43,"NAN"
"2018-08-03 11:00:00",503,14.36,"NAN"
"2018-08-03 12:00:00",504,14.28,"NAN"
"2018-08-03 13:00:00",505,14.29,"NAN"
"2018-08-03 14:00:00",506,14.31,"NAN"
"2018-08-03 15:00:00",507,14.33,"NAN"
"2018-08-03 16:00:00",508,14.37,"NAN"
